Month,S&P500,Dividends,Earnings,CPI,10-year rate,Gold,President age,Temperature
01/1880,5.11,0.02,0.03,9.99,0.0402000,20.67,687,-0.29
02/1880,5.2,0.02,0.03,9.99,0.0399000,20.67,688,-0.18
03/1880,5.3,0.02,0.03,10.09,0.0397000,20.67,689,-0.11
04/1880,5.18,0.02,0.03,9.7,0.0394000,20.67,690,-0.19
05/1880,4.77,0.02,0.04,9.42,0.0391000,20.67,691,-0.11
06/1880,4.79,0.02,0.04,9.23,0.0389000,20.67,692,-0.23
07/1880,5.01,0.02,0.04,9.23,0.0386000,20.67,693,-0.21
08/1880,5.19,0.02,0.04,9.23,0.0383000,20.67,694,-0.09
09/1880,5.18,0.02,0.04,9.32,0.0381000,20.67,695,-0.16
10/1880,5.33,0.02,0.04,9.32,0.0378000,20.67,696,-0.23
11/1880,5.61,0.02,0.04,9.42,0.0375000,20.67,697,-0.2
12/1880,5.84,0.02,0.04,9.51,0.0373000,20.67,698,-0.22
01/1881,6.19,0.02,0.04,9.42,0.0370000,20.67,699,-0.15
02/1881,6.17,0.02,0.04,9.51,0.0369000,20.67,700,-0.17
03/1881,6.24,0.02,0.04,9.51,0.0369000,20.67,592,0.04
04/1881,6.22,0.02,0.04,9.61,0.0368000,20.67,593,0.04
05/1881,6.5,0.02,0.04,9.51,0.0367000,20.67,594,0.02
06/1881,6.58,0.02,0.04,9.51,0.0367000,20.67,595,-0.2
07/1881,6.35,0.02,0.04,9.61,0.0366000,20.67,596,-0.06
08/1881,6.2,0.03,0.04,9.8,0.0365000,20.67,597,-0.02
09/1881,6.25,0.03,0.04,10.18,0.0365000,20.67,623,-0.13
10/1881,6.15,0.03,0.04,10.28,0.0364000,20.67,624,-0.2
11/1881,6.19,0.03,0.04,10.18,0.0363000,20.67,625,-0.21
12/1881,6.01,0.03,0.04,10.18,0.0363000,20.67,626,-0.1
01/1882,5.92,0.03,0.04,10.18,0.0362000,20.67,627,0.15
02/1882,5.79,0.03,0.04,10.28,0.0362000,20.67,628,0.15
03/1882,5.78,0.03,0.04,10.28,0.0362000,20.67,629,0.04
04/1882,5.78,0.03,0.04,10.37,0.0362000,20.67,630,-0.18
05/1882,5.71,0.03,0.04,10.47,0.0362000,20.67,631,-0.15
06/1882,5.68,0.03,0.04,10.56,0.0362000,20.67,632,-0.25
07/1882,6,0.03,0.04,10.47,0.0363000,20.67,633,-0.2
08/1882,6.18,0.03,0.04,10.56,0.0363000,20.67,634,-0.05
09/1882,6.24,0.03,0.04,10.28,0.0363000,20.67,635,-0.1
10/1882,6.07,0.03,0.04,10.18,0.0363000,20.67,636,-0.24
11/1882,5.81,0.03,0.04,10.09,0.0363000,20.67,637,-0.15
12/1882,5.84,0.03,0.04,9.99,0.0363000,20.67,638,-0.24
01/1883,5.81,0.03,0.04,9.99,0.0363000,20.67,639,-0.31
02/1883,5.68,0.03,0.04,10.09,0.0363000,20.67,640,-0.38
03/1883,5.75,0.03,0.04,9.99,0.0363000,20.67,641,-0.12
